Country,Geographic_region,Private_company,End_target,End_target_year,Status_of_end_target,Interim_target,Interim_target_year,GHGs_covered,Scope_1_coverage,Scope_2_coverage,Published_plan,Reporting_mechanism,Accountability_delivery,Carbon_credits,Separate_removal_target,Planning_removals,Historical_emissions,Race_to_zero_member,Industry,log_revenue,log_employees,Scope_3_coverage
NOR,Europe,No,Emissions reduction target,2030.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Not Specified,No,No,"Food, beverage & agriculture",22.371347373165136,9.52711997525166,Yes
JPN,East Asia,No,Carbon neutral(ity),2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Not Specified,Yes,No,Services,23.53669655356645,8.614138397472717,Not Specified
USA,North America,No,Net zero,2050.0,Proposed / in discussion,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Not Specified,Not Specified,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,22.316980789118446,9.680406499268875,Not Specified
JPN,East Asia,No,Carbon neutral(ity),2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Retail,22.545392842952545,9.848767340335895,No
USA,North America,No,No target,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Not Specified,Not Specified,No,Less than annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,"Food, beverage & agriculture",22.737235088462043,8.788593431293735,Not Specified
CHN,East Asia,No,No target,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Not Specified,Not Specified,No,Annual reporting,Yes,Not Specified,No,Not Specified,No,No,Services,26.1257765382661,12.936419267079225,Not Specified
CHE,Europe,No,Emissions reduction target,2032.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Not Specified,No,No,"Biotech, health care & pharma",22.15787405858306,9.79762691183662,Yes
CAN,North America,No,Emissions reduction target,2030.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,No,No,No,No,No,"Food, beverage & agriculture",23.466747529944232,11.491405564003305,Yes
JPN,East Asia,No,Carbon neutral(ity),2030.0,In corporate strategy,No target,2030.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,No,No,No,Services,6.535241271013659,7.504942068396171,Not Specified
GBR,Europe,No,Net zero,2040.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Yes (nature-based and CCS-based removals),No,Yes,Services,23.212745348662498,10.502351525774941,Partial
SAU,Western and Central Asia,No,No target,2030.0,In corporate strategy,No target,2030.0,Not Specified,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Not Specified,No,No,"Food, beverage & agriculture",22.458983915467115,10.690102307253893,Yes
LUX,Europe,No,Emissions intensity target,2030.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,No,No,Not Specified,No,No,Materials,23.584380413832662,10.432644132986843,Partial
USA,North America,No,Emissions reduction target,2030.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Materials,23.691421342781567,10.934908916663861,Yes
ARE,Western and Central Asia,No,Net zero,2050.0,Proposed / in discussion,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Not Specified,No,No,Services,23.776370390405486,9.122492281402987,Yes
USA,North America,No,Emissions reduction target,2030.0,In corporate strategy,No target,2024.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,No,Not Specified,No,Not Specified,No,No,Hospitality,22.463732011962353,11.326607934898927,Yes
USA,North America,No,No target,2045.0,In corporate strategy,No target,2030.0,Not Specified,Yes,Yes,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,"Biotech, health care & pharma",9.375006993531416,11.156264806643742,Not Specified
USA,North America,No,Carbon neutral(ity),2030.0,In corporate strategy,Emissions reduction target,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,No,Yes,No,Not Specified,No,No,"Biotech, health care & pharma",22.948537826945824,9.53249633228804,No
JPN,East Asia,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,Not Specified,Yes,Yes,"Yes (CCS-based removals e.g. BECCS, DACCS)",No,No,Transportation services,23.405793080885925,10.62682440425913,Partial
GBR,Europe,Yes,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,"Yes (CCS-based removals e.g. BECCS, DACCS)",No,No,Materials,23.667704816165482,10.432644132986843,Yes
USA,North America,Yes,No target,2050.0,In corporate strategy,No target,2030.0,Not Specified,Not Specified,Not Specified,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,23.767788274717454,9.754784507365798,Not Specified
GBR,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2032.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Yes (nature-based and CCS-based removals),No,Yes,Fossil Fuels,24.098940261411677,10.038455412946613,Yes
JPN,East Asia,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2026.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Yes,No,Yes (nature-based and CCS-based removals),No,Yes,Services,24.88300792627042,11.698358841693127,Yes
CHN,East Asia,No,Net zero,2050.0,In corporate strategy,Emissions intensity target,2030.0,Not Specified,Yes,Yes,Yes,Annual reporting,Not Specified,Yes,No,"Yes (CCS-based removals e.g. BECCS, DACCS)",No,No,"Biotech, health care & pharma",21.541723208912913,9.423352776090933,Yes
CHE,Europe,No,Emissions reduction target,2030.0,In corporate strategy,Other,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Yes,No,No,No,No,Apparel,23.822772368761928,10.596659732783579,Partial
TUR,Western and Central Asia,No,Net zero,2050.0,In corporate strategy,Other,2030.0,Not Specified,Yes,Yes,No,Annual reporting,Not Specified,Yes,No,Not Specified,No,Yes,Services,22.70039775994014,9.99474407280768,Not Specified
USA,North America,No,Net zero,2040.0,Declaration / pledge,Other,2025.0,Not Specified,Yes,Yes,No,Annual reporting,Not Specified,Not Specified,No,Yes (nature-based and CCS-based removals),No,No,Materials,22.909317113796863,9.441531454869693,Not Specified
JPN,East Asia,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Manufacturing,22.38149391374042,9.746307288148506,Yes
USA,North America,No,No target,2050.0,In corporate strategy,No target,2030.0,Not Specified,Not Specified,Not Specified,No,No reporting mechanism,No,Not Specified,No,No,No,No,Infrastructure,23.065744493698222,8.853808274977197,Not Specified
CHE,Europe,No,Net zero,2030.0,Declaration / pledge,Emissions reduction target,2023.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,No,Yes,No,No,No,No,Services,22.686454421942408,8.935377071932177,No
JPN,East Asia,No,Carbon neutral(ity),2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,20.29555512142467,7.7336835707759,Partial
CHN,East Asia,No,No target,2050.0,In corporate strategy,No target,2030.0,Not Specified,Not Specified,Not Specified,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,22.948537826945824,9.526464118059266,Not Specified
USA,North America,No,1.5°C target,2030.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,No,No,No,No,No,Retail,22.446032434866087,9.259225769705994,Partial
CHN,East Asia,No,Carbon neutral(ity),2060.0,In corporate strategy,Emissions intensity target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Yes,Not Specified,No,Not Specified,No,No,"Food, beverage & agriculture",23.74154207498418,10.455963627557306,Not Specified
USA,North America,No,Emissions reduction target,2032.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,"Biotech, health care & pharma",23.119705505503124,8.716207971151853,Partial
JPN,East Asia,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Less than annual reporting,Yes,Yes,No,Yes (nature-based and CCS-based removals),Yes,No,Infrastructure,23.68853890306724,9.691840166360345,Yes
CAN,North America,No,Net zero,2050.0,Declaration / pledge,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,No reporting mechanism,Not Specified,Not Specified,No,No,No,Yes,Hospitality,22.85316282223359,10.534785924769006,Partial
HKG,East Asia,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,Not Specified,Yes,No,Not Specified,No,No,Transportation services,23.316727893363517,10.31264583248191,No
USA,North America,No,Zero emissions,2040.0,In corporate strategy,Emissions reduction target,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,No,No,No,No,Yes,Retail,27.246806116423087,14.557448378884015,No
USA,North America,No,Carbon neutral(ity),2030.0,In corporate strategy,No target,2030.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Not Specified,No,No,"Biotech, health care & pharma",24.530883426041903,10.757924157061597,Yes
QAT,Western and Central Asia,No,Emissions reduction target,2022.0,In corporate strategy,Other,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,Yes,No,Services,24.35987783815021,9.754784507365798,Partial
DNK,Europe,No,Net zero,2050.0,In corporate strategy,Other,2030.0,Carbon dioxide and other GHGs,Not Specified,Not Specified,Yes,Annual reporting,Yes,Yes,No,Not Specified,No,Yes,Services,23.86106174980725,9.899328917387269,Not Specified
FRA,Europe,Yes,Emissions reduction target,2035.0,Declaration / pledge,Emissions reduction target,2030.0,Carbon dioxide only,Not Specified,Not Specified,No,No reporting mechanism,Not Specified,Not Specified,No,Not Specified,No,No,Retail,24.994919414152882,10.933124826700707,Not Specified
USA,North America,No,Emissions reduction target,2030.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,No,No,No,Manufacturing,21.917188305721876,9.105090961257085,Partial
USA,North America,No,Net zero,2040.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Yes,No,Yes (unspecified),No,No,Services,22.026721920028887,9.23024103368252,Partial
FIN,Europe,No,Science-based target,2030.0,In corporate strategy,No target,2030.0,Not Specified,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,No,No,No,Services,22.969280578557882,9.509778075438817,Yes
USA,North America,No,Net zero,2050.0,In corporate strategy,No target,2029.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Yes,Not Specified,No,Not Specified,No,No,Services,24.170805945833344,11.266935408460283,Yes
GBR,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Yes (unspecified),No,Yes,Services,24.827560730038183,12.367345048436391,Yes
JPN,East Asia,No,Net zero,2050.0,In corporate strategy,Net zero or similar,2030.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,Not Specified,No,No,Not Specified,No,No,Services,20.497619156667216,7.706162970199576,Yes
USA,North America,No,No target,2050.0,In corporate strategy,No target,2030.0,Not Specified,Not Specified,Not Specified,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,22.83541655315693,9.071193240566025,Not Specified
IND,South Asia,No,No target,2050.0,In corporate strategy,No target,2030.0,Not Specified,No,No,No,Annual reporting,Not Specified,Not Specified,No,No,No,No,Services,22.864977704469826,11.19822841866684,No
TWN,East Asia,No,Emissions reduction target,2050.0,Declaration / pledge,Emissions reduction target,2030.0,Not Specified,Yes,Yes,No,Annual reporting,Not Specified,Yes,No,Not Specified,No,Yes,Retail,24.0675753564368,10.673989215342615,Yes
IRL,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Not Specified,Yes,Yes,No,Annual reporting,Yes,Yes,No,Not Specified,No,No,Services,24.013457167268452,9.642187721358466,Yes
CHN,East Asia,No,No target,2050.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Not Specified,Not Specified,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Power generation,9.457512901089753,9.493863809279105,Not Specified
DNK,Europe,No,Carbon neutral(ity),2030.0,In corporate strategy,Emissions reduction target,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,No,No,No,No,Yes,Manufacturing,23.65227052850314,10.465984899076615,Partial
CAN,North America,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Not Specified,No,Yes,Services,24.482137662903693,11.350418300109132,Partial
USA,North America,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Yes (unspecified),No,Yes,"Food, beverage & agriculture",23.701037785174314,10.434145214930487,Yes
IRL,Europe,No,Carbon neutral(ity),2040.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,Yes,Yes,Manufacturing,23.51443094482048,11.326607934898927,Partial
IND,South Asia,No,No target,2040.0,In corporate strategy,No target,2030.0,Not Specified,Not Specified,Not Specified,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Retail,24.397843506374848,4.912654885736052,Not Specified
USA,North America,No,Net zero,2045.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Not Specified,Not Specified,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,"Biotech, health care & pharma",22.525800379507306,8.252706676567644,Not Specified
USA,North America,No,Net zero,2050.0,Declaration / pledge,Emissions reduction target,2033.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,21.816195342814254,7.840312983320164,Yes
CHE,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Not Specified,Not Specified,Yes,Annual reporting,Yes,No,No,No,No,No,Services,21.373505517017,7.644919344958857,Not Specified
DEU,Europe,No,Climate neutral,2050.0,Proposed / in discussion,No target,2030.0,Not Specified,Yes,Yes,No,Annual reporting,No,Yes,No,Not Specified,No,No,Services,21.234291441314948,8.106816038947052,Partial
GRC,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2025.0,Not Specified,Not Specified,Not Specified,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,22.417596216582197,8.707152175339404,Not Specified
JPN,East Asia,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Yes,No,Yes (unspecified),No,No,Services,25.54461135249302,11.29025680087923,Yes
CHN,East Asia,No,No target,2045.0,In corporate strategy,Emissions reduction target,2030.0,Not Specified,Not Specified,Not Specified,No,No reporting mechanism,No,No,No,No,No,No,"Biotech, health care & pharma",23.78847753031685,10.313674826979621,Not Specified
ARE,Western and Central Asia,No,Net zero,2030.0,Declaration / pledge,No target,2030.0,Carbon dioxide only,Yes,Yes,No,Annual reporting,Yes,No,No,No,No,No,Services,22.573294214455675,9.754784507365798,Partial
CHN,East Asia,No,Carbon neutral(ity),2060.0,In corporate strategy,Other,2030.0,Not Specified,Yes,Yes,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Infrastructure,23.542797780771018,8.895766604056085,No
USA,North America,No,Net zero,2030.0,In corporate strategy,No target,2030.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,Yes,No,Yes,Yes (nature-based and CCS-based removals),No,Yes,Services,26.60746249496306,12.119010358153723,Yes
USA,North America,No,No target,2017.0,In corporate strategy,No target,2030.0,Not Specified,Not Specified,Not Specified,No,Annual reporting,No,Yes,No,Not Specified,No,No,Services,22.808937928501106,9.210440366976517,Not Specified
IND,South Asia,No,Net zero,2035.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,"Yes (CCS-based removals e.g. BECCS, DACCS)",No,No,Fossil Fuels,25.460358622153368,12.373005569007466,Yes
